TRACK_ID	gene	condition	IP_tag	timepoint	rep	ChIPmix
AN7919_mCopy_OE_16h_polII_ChIPMix17_1	AN7919	AN7919_mCopy_OE	polII	16h	1	ChIPMix17
AN7919_sCopy_OE_16h_HA_ChIPMix36_2	AN7919	AN7919_sCopy_OE	HA	16h	2	ChIPMix36
AN7919_sCopy_OE_16h_polII_ChIPMix60_2	AN7919	AN7919_sCopy_OE	polII	16h	2	ChIPMix60
AN7919_sCopy_OE_16h_polII_ChIPMix66_3	AN7919	AN7919_sCopy_OE	polII	16h	3	ChIPMix66
AN7921_sCopy_OE_16h_HA_ChIPMix36_1	AN7921	AN7921_sCopy_OE	HA	16h	1	ChIPMix36
AN7921_sCopy_OE_16h_HA_ChIPMix55_2	AN7921	AN7921_sCopy_OE	HA	16h	2	ChIPMix55
AN7921_sCopy_OE_16h_polII_ChIPMix55_1	AN7921	AN7921_sCopy_OE	polII	16h	1	ChIPMix55
AN7921_sCopy_OE_16h_polII_ChIPMix60_2	AN7921	AN7921_sCopy_OE	polII	16h	2	ChIPMix60
AN7923_sCopy_OE_16h_HA_ChIPMix55_1	AN7923	AN7923_sCopy_OE	HA	16h	1	ChIPMix55
AN7923_sCopy_OE_16h_HA_ChIPMix55_2	AN7923	AN7923_sCopy_OE	HA	16h	2	ChIPMix55
AN7923_sCopy_OE_16h_polII_ChIPMix55_1	AN7923	AN7923_sCopy_OE	polII	16h	1	ChIPMix55
AN7923_sCopy_OE_16h_polII_ChIPMix60_2	AN7923	AN7923_sCopy_OE	polII	16h	2	ChIPMix60
AN8111_sCopy_OE_16h_HA_ChIPMix36_1	AN8111	AN8111_sCopy_OE	HA	16h	1	ChIPMix36
AN8111_sCopy_OE_16h_HA_ChIPMix36_2	AN8111	AN8111_sCopy_OE	HA	16h	2	ChIPMix36
AN8111_sCopy_OE_16h_polII_ChIPMix60_1	AN8111	AN8111_sCopy_OE	polII	16h	1	ChIPMix60
AN8111_sCopy_OE_16h_polII_ChIPMix60_2	AN8111	AN8111_sCopy_OE	polII	16h	2	ChIPMix60
AN8251_sCopy_OE_16h_HA_ChIPMix36_1	AN8251	AN8251_sCopy_OE	HA	16h	1	ChIPMix36
AN8251_sCopy_OE_16h_HA_ChIPMix55_2	AN8251	AN8251_sCopy_OE	HA	16h	2	ChIPMix55
AN8251_sCopy_OE_16h_polII_ChIPMix56_1	AN8251	AN8251_sCopy_OE	polII	16h	1	ChIPMix56
AN8251_sCopy_OE_16h_polII_ChIPMix60_2	AN8251	AN8251_sCopy_OE	polII	16h	2	ChIPMix60
AN8391_sCopy_OE_16h_HA_ChIPMix36_1	AN8391	AN8391_sCopy_OE	HA	16h	1	ChIPMix36
AN8391_sCopy_OE_16h_HA_ChIPMix55_2	AN8391	AN8391_sCopy_OE	HA	16h	2	ChIPMix55
AN8391_sCopy_OE_16h_polII_ChIPMix66_1	AN8391	AN8391_sCopy_OE	polII	16h	1	ChIPMix66
AN8391_sCopy_OE_16h_polII_ChIPMix66_2	AN8391	AN8391_sCopy_OE	polII	16h	2	ChIPMix66
AN8506_mCopy_OE_16h_FLAG_ChIPMix17_1	AN8506	AN8506_mCopy_OE	FLAG	16h	1	ChIPMix17
AN8506_mCopy_OE_16h_polII_ChIPMix17_1	AN8506	AN8506_mCopy_OE	polII	16h	1	ChIPMix17
