TRACK_ID	gene	IP_tag	timepoint	rep	ChIPmix
AN8902_sCopy_OE_16h_HA_ChIPMix36_1	AN8902	HA	16h	1	ChIPMix36
AN8902_sCopy_OE_16h_HA_ChIPMix55_2	AN8902	HA	16h	2	ChIPMix55
AN8902_sCopy_OE_16h_polII_ChIPMix55_1	AN8902	polII	16h	1	ChIPMix55
AN8902_sCopy_OE_16h_polII_ChIPMix60_2	AN8902	polII	16h	2	ChIPMix60
AN9013_sCopy_OE_16h_HA_ChIPMix36_1	AN9013	HA	16h	1	ChIPMix36
AN9013_sCopy_OE_16h_HA_ChIPMix55_2	AN9013	HA	16h	2	ChIPMix55
AN9013_sCopy_OE_16h_polII_ChIPMix55_1	AN9013	polII	16h	1	ChIPMix55
AN9013_sCopy_OE_16h_polII_ChIPMix60_2	AN9013	polII	16h	2	ChIPMix60
apdR_mCopy_OE_16h_FLAG_ChIPMix17_1	apdR	FLAG	16h	1	ChIPMix17
apdR_mCopy_OE_16h_polII_ChIPMix17_1	apdR	polII	16h	1	ChIPMix17
apdR_sCopy_OE_16h_FLAG_ChIPMix36_2	apdR	FLAG	16h	2	ChIPMix36
apdR_sCopy_OE_16h_polII_ChIPMix55_2	apdR	polII	16h	2	ChIPMix55
areA_del_NF_16h_H3K27Ac_ChIPMix55_1	areA_del	H3K27Ac	16h	1	ChIPMix55
areA_del_NH4_16h_H3K27Ac_ChIPMix55_1	areA_del	H3K27Ac	16h	1	ChIPMix55
cpcA_16h_HA_ChIPMix34_1	cpcA	HA	16h	1	ChIPMix34
hepA_del_16h_polII_ChIPMix56_2	hepA_del	polII	16h	2	ChIPMix56
MH11036_16h_polII_ChIPMix19_1	MH11036	polII	16h	1	ChIPMix19
MH11036_16h_polII_ChIPMix55_2	WT	polII	16h	2	ChIPMix55
MH11036_no_Xyl_16h_polII_ChIPMix56_1	WT	polII	16h	1	ChIPMix56
MH11036_TSA_16h_polII_ChIPMix19_1	MH11036	polII	16h	1	ChIPMix19
WT_48h_H3K27Ac_ChIPMix56_1	WT	H3K27Ac	48h	1	ChIPMix56
