sampleId	SM_TF	timePoint	IP_tag	control	peakType
AN6790_sCopy_OE_16h_FLAG_ChIPMix36_2	AN6790	16h	FLAG	NA	narrow
AN6790_sCopy_OE_16h_polII_ChIPMix60_2	AN6790	16h	polII	NA	NA
AN7061_sCopy_OE_16h_HA_ChIPMix17_1	AN7061	16h	HA	NA	narrow
AN7061_sCopy_OE_16h_HA_ChIPMix64_2	AN7061	16h	HA	NA	narrow
AN7061_sCopy_OE_16h_polII_ChIPMix17_1	AN7061	16h	polII	NA	NA
AN7061_sCopy_OE_16h_polII_ChIPMix60_2	AN7061	16h	polII	NA	NA
AN7072_sCopy_OE_16h_HA_ChIPMix36_1	AN7072	16h	HA	NA	narrow
AN7072_sCopy_OE_16h_HA_ChIPMix55_2	AN7072	16h	HA	NA	narrow
AN7072_sCopy_OE_16h_polII_ChIPMix60_1	AN7072	16h	polII	NA	NA
AN7072_sCopy_OE_16h_polII_ChIPMix60_2	AN7072	16h	polII	NA	NA
AN7073_sCopy_OE_16h_HIS_ChIPMix36_1	AN7073	16h	HIS	NA	narrow
AN7513_sCopy_OE_16h_HA_ChIPMix55_1	AN7513	16h	HA	NA	narrow
AN7513_sCopy_OE_16h_HA_ChIPMix55_2	AN7513	16h	HA	NA	narrow
AN7513_sCopy_OE_16h_polII_ChIPMix55_1	AN7513	16h	polII	NA	NA
AN7820_sCopy_OE_16h_H3K27Ac_ChIPMix55_1	AN7820	16h	H3K27Ac	NA	NA
AN7820_sCopy_OE_no_Xyl_16h_H3K27Ac_ChIPMix55_1	AN7820	16h	H3K27Ac	NA	NA
AN7820_sCopy_OE_16h_HA_ChIPMix36_1	AN7820	16h	HA	NA	narrow
AN7820_sCopy_OE_16h_HA_ChIPMix36_2	AN7820	16h	HA	NA	narrow
AN7820_sCopy_OE_16h_HA_ChIPMix55_3	AN7820	16h	HA	NA	narrow
AN7820_sCopy_OE_16h_polII_ChIPMix55_1	AN7820	16h	polII	NA	NA
AN7820_sCopy_OE_no_Xyl_16h_polII_ChIPMix56_1	AN7820	16h	polII	NA	NA
AN7820_sCopy_OE_16h_polII_ChIPMix56_2	AN7820	16h	polII	NA	NA
AN7872_sCopy_OE_16h_HA_ChIPMix36_1	AN7872	16h	HA	NA	narrow
AN7872_sCopy_OE_16h_polII_ChIPMix60_1	AN7872	16h	polII	NA	NA
AN7872_sCopy_OE_16h_polII_ChIPMix60_2	AN7872	16h	polII	NA	NA
